Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of a nutrient adequate diet [CoNA],Cost of an energy sufficient diet [CoCA],Cost of animal-source foods [CoHD_asf],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],Cost of fruits [CoHD_f],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],"Cost of legumes, nuts and seeds [CoHD_lns]","Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats [CoHD_of],Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Cost of starchy staples [CoHD_ss],Cost of vegetables [CoHD_v],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 1.0,FPN 1.0,Seychelles,SYC,2017,YR2017,0.807,4.051,0.437,2.191,0.128,0.64,4.01,6.32,2.169,0.634,1.088,2.86,0.476,1.25,0.875,2.3,0.095,0.25,0.381,1.094,2.87,0.271,0.119,0.218,0.024,0.273,0.095,0.1,2.5,8.8,0,0,0,95843
Food Prices for Nutrition 1.0,FPN 1.0,Seychelles,SYC,2018,YR2018,..,4.005,..,..,..,..,3.965,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.8,..,..,0,96762
Food Prices for Nutrition 1.0,FPN 1.0,Seychelles,SYC,2019,YR2019,..,3.963,..,..,..,..,3.923,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.4,..,..,0,97625
Food Prices for Nutrition 1.0,FPN 1.0,Seychelles,SYC,2020,YR2020,..,3.839,..,..,..,..,3.801,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.8,..,..,0,98462
Food Prices for Nutrition 1.0,FPN 1.0,Seychelles,SYC,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Sierra Leone,SLE,2017,YR2017,1.323,2.871,1.025,2.223,0.579,1.256,2.842,2.29,2.201,1.243,0.754,1.15,0.298,0.45,0.257,0.39,0.122,0.19,0.655,0.756,1.15,0.265,0.105,0.09,0.043,0.266,0.23,54.4,84.4,91.1,4.1,6.3,6.8,7488427
Food Prices for Nutrition 1.0,FPN 1.0,Sierra Leone,SLE,2018,YR2018,..,2.982,..,..,..,..,2.952,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.1,..,..,7,7650149
Food Prices for Nutrition 1.0,FPN 1.0,Sierra Leone,SLE,2019,YR2019,..,2.876,..,..,..,..,2.847,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.1,..,..,7,7813207
Food Prices for Nutrition 1.0,FPN 1.0,Sierra Leone,SLE,2020,YR2020,..,2.922,..,..,..,..,2.893,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.2,..,..,7.1,7976985
Food Prices for Nutrition 1.0,FPN 1.0,Sierra Leone,SLE,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Singapore,SGP,2017,YR2017,0.548,2.803,0.4,2.044,0.148,0.759,2.775,3.7,2.024,0.751,0.611,1.18,0.615,1.18,0.324,0.62,0.102,0.2,0.519,0.605,1.17,0.22,0.222,0.117,0.037,0.218,0.187,..,..,..,..,..,..,5612253
Food Prices for Nutrition 1.0,FPN 1.0,Singapore,SGP,2018,YR2018,..,2.896,..,..,..,..,2.867,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5638676
Food Prices for Nutrition 1.0,FPN 1.0,Singapore,SGP,2019,YR2019,..,2.966,..,..,..,..,2.936,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5703569
Food Prices for Nutrition 1.0,FPN 1.0,Singapore,SGP,2020,YR2020,..,3.095,..,..,..,..,3.064,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5685807
Food Prices for Nutrition 1.0,FPN 1.0,Singapore,SGP,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Sint Maarten (Dutch part),SXM,2017,YR2017,0.833,4.507,0.737,3.984,0.42,2.274,4.462,1.98,3.944,2.251,0.864,0.69,0.905,0.72,0.328,0.26,0.195,0.15,1.26,0.91,0.72,0.194,0.203,0.074,0.044,0.204,0.282,..,..,..,..,..,..,40574
Food Prices for Nutrition 1.0,FPN 1.0,Sint Maarten (Dutch part),SXM,2018,YR2018,..,4.778,..,..,..,..,4.73,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40654
Food Prices for Nutrition 1.0,FPN 1.0,Sint Maarten (Dutch part),SXM,2019,YR2019,..,4.818,..,..,..,..,4.77,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40733
Food Prices for Nutrition 1.0,FPN 1.0,Sint Maarten (Dutch part),SXM,2020,YR2020,..,5.414,..,..,..,..,5.36,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40812
Food Prices for Nutrition 1.0,FPN 1.0,Sint Maarten (Dutch part),SXM,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Slovak Republic,SVK,2017,YR2017,0.434,3.043,0.285,1.997,0.052,0.367,3.013,8.3,1.977,0.363,0.667,1.91,0.634,1.81,0.311,0.89,0.077,0.22,0.35,0.974,2.78,0.221,0.21,0.103,0.026,0.323,0.116,0.1,1.3,2,0,0.1,0.1,5439232
Food Prices for Nutrition 1.0,FPN 1.0,Slovak Republic,SVK,2018,YR2018,..,3.133,..,..,..,..,3.102,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.4,..,..,0.1,5446771
Food Prices for Nutrition 1.0,FPN 1.0,Slovak Republic,SVK,2019,YR2019,..,3.136,..,..,..,..,3.105,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,..,..,0.1,5454147
Food Prices for Nutrition 1.0,FPN 1.0,Slovak Republic,SVK,2020,YR2020,..,3.182,..,..,..,..,3.15,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,..,..,0.1,5458827
Food Prices for Nutrition 1.0,FPN 1.0,Slovak Republic,SVK,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Slovenia,SVN,2017,YR2017,0.394,2.826,0.284,2.035,0.061,0.438,2.798,6.45,2.015,0.434,0.698,2.41,0.669,2.31,0.346,1.19,0.072,0.25,0.29,0.722,2.49,0.249,0.239,0.124,0.026,0.258,0.104,0,0,0.1,0,0,0,2066388
Food Prices for Nutrition 1.0,FPN 1.0,Slovenia,SVN,2018,YR2018,..,2.931,..,..,..,..,2.902,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,0,2073894
Food Prices for Nutrition 1.0,FPN 1.0,Slovenia,SVN,2019,YR2019,..,2.945,..,..,..,..,2.916,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,0,2088385
Food Prices for Nutrition 1.0,FPN 1.0,Slovenia,SVN,2020,YR2020,..,3.101,..,..,..,..,3.07,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,0,2100126
Food Prices for Nutrition 1.0,FPN 1.0,Slovenia,SVN,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,South Africa,ZAF,2017,YR2017,0.95,4.143,0.789,3.441,0.293,1.278,4.102,3.24,3.407,1.265,1.059,1.67,0.727,1.15,0.852,1.35,0.129,0.2,0.633,0.702,1.11,0.258,0.177,0.208,0.031,0.171,0.154,24,60.1,65.2,13.7,34.3,37.2,57009751
Food Prices for Nutrition 1.0,FPN 1.0,South Africa,ZAF,2018,YR2018,..,4.188,..,..,..,..,4.146,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64.8,..,..,37.5,57792520
Food Prices for Nutrition 1.0,FPN 1.0,South Africa,ZAF,2019,YR2019,..,4.24,..,..,..,..,4.198,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65,..,..,38,58558267
Food Prices for Nutrition 1.0,FPN 1.0,South Africa,ZAF,2020,YR2020,..,4.341,..,..,..,..,4.298,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.2,..,..,38.7,59308690
Food Prices for Nutrition 1.0,FPN 1.0,South Africa,ZAF,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,South Asia,SAS,2017,YR2017,..,..,..,..,..,..,3.558,..,2.328,0.804,1.076,..,0.842,..,0.318,..,0.172,..,0.422,0.729,..,..,..,..,..,..,..,1.8,54.2,75.6,32.1,951.4,1327.5,1756587053
Food Prices for Nutrition 1.0,FPN 1.0,South Asia,SAS,2018,YR2018,..,..,..,..,..,..,3.61,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.5,..,..,1289.4,1777283096
Food Prices for Nutrition 1.0,FPN 1.0,South Asia,SAS,2019,YR2019,..,..,..,..,..,..,3.661,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.1,..,..,1278.4,1797735012
Food Prices for Nutrition 1.0,FPN 1.0,South Asia,SAS,2020,YR2020,..,..,..,..,..,..,3.842,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.3,..,..,1314.4,1817954061
Food Prices for Nutrition 1.0,FPN 1.0,South Asia,SAS,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Spain,ESP,2017,YR2017,0.371,2.726,0.241,1.77,0.06,0.442,2.699,6.16,1.752,0.438,0.623,2.24,0.796,2.86,0.211,0.76,0.053,0.19,0.278,0.739,2.66,0.231,0.295,0.078,0.02,0.274,0.103,0.5,1.1,1.9,0.2,0.5,0.9,46593236
Food Prices for Nutrition 1.0,FPN 1.0,Spain,ESP,2018,YR2018,..,2.769,..,..,..,..,2.741,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.1,..,..,1,46797754
Food Prices for Nutrition 1.0,FPN 1.0,Spain,ESP,2019,YR2019,..,2.772,..,..,..,..,2.744,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.9,..,..,0.9,47133521
Food Prices for Nutrition 1.0,FPN 1.0,Spain,ESP,2020,YR2020,..,2.867,..,..,..,..,2.838,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,..,..,0.9,47351567
Food Prices for Nutrition 1.0,FPN 1.0,Spain,ESP,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Sri Lanka,LKA,2017,YR2017,0.671,3.739,0.404,2.251,0.176,0.982,3.702,3.81,2.228,0.972,0.999,2.03,0.899,1.82,0.192,0.39,0.321,0.65,0.493,0.799,1.62,0.27,0.243,0.052,0.087,0.216,0.133,0.4,19.4,52.3,0.1,4.2,11.2,21444000
Food Prices for Nutrition 1.0,FPN 1.0,Sri Lanka,LKA,2018,YR2018,..,3.742,..,..,..,..,3.705,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.8,..,..,10.6,21670000
Food Prices for Nutrition 1.0,FPN 1.0,Sri Lanka,LKA,2019,YR2019,..,3.704,..,..,..,..,3.667,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.3,..,..,9.9,21803000
Food Prices for Nutrition 1.0,FPN 1.0,Sri Lanka,LKA,2020,YR2020,..,3.963,..,..,..,..,3.923,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49,..,..,10.7,21919000
Food Prices for Nutrition 1.0,FPN 1.0,Sri Lanka,LKA,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,St. Kitts and Nevis,KNA,2017,YR2017,0.462,3.028,0.461,3.024,0.082,0.538,2.998,5.62,2.994,0.533,0.716,1.68,0.648,1.52,0.333,0.78,0.136,0.32,0.425,0.74,1.74,0.239,0.216,0.111,0.045,0.247,0.142,..,..,..,..,..,..,52036
Food Prices for Nutrition 1.0,FPN 1.0,St. Kitts and Nevis,KNA,2018,YR2018,..,3.211,..,..,..,..,3.179,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52438
Food Prices for Nutrition 1.0,FPN 1.0,St. Kitts and Nevis,KNA,2019,YR2019,..,3.343,..,..,..,..,3.31,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52834
Food Prices for Nutrition 1.0,FPN 1.0,St. Kitts and Nevis,KNA,2020,YR2020,..,3.439,..,..,..,..,3.405,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53192
Food Prices for Nutrition 1.0,FPN 1.0,St. Kitts and Nevis,KNA,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,St. Lucia,LCA,2017,YR2017,1.836,3.296,1.492,2.678,0.591,1.061,3.263,3.11,2.651,1.05,0.848,1.67,0.479,0.94,0.334,0.66,0.205,0.4,0.509,0.888,1.74,0.26,0.147,0.102,0.063,0.272,0.156,4.4,16.4,20.2,0,0,0,180955
Food Prices for Nutrition 1.0,FPN 1.0,St. Lucia,LCA,2018,YR2018,..,3.433,..,..,..,..,3.399,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.1,..,..,0,181890
Food Prices for Nutrition 1.0,FPN 1.0,St. Lucia,LCA,2019,YR2019,..,3.553,..,..,..,..,3.517,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.3,..,..,0,182795
Food Prices for Nutrition 1.0,FPN 1.0,St. Lucia,LCA,2020,YR2020,..,3.63,..,..,..,..,3.594,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.6,..,..,0,183629
Food Prices for Nutrition 1.0,FPN 1.0,St. Lucia,LCA,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,St. Vincent and the Grenadines,VCT,2017,YR2017,0.785,4.173,0.581,3.085,0.251,1.335,4.131,3.12,3.054,1.322,0.78,0.95,0.427,0.52,0.605,0.74,0.229,0.28,0.822,1.269,1.54,0.189,0.103,0.146,0.055,0.307,0.199,..,..,..,..,..,..,109826
Food Prices for Nutrition 1.0,FPN 1.0,St. Vincent and the Grenadines,VCT,2018,YR2018,..,4.275,..,..,..,..,4.232,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,110210
Food Prices for Nutrition 1.0,FPN 1.0,St. Vincent and the Grenadines,VCT,2019,YR2019,..,4.336,..,..,..,..,4.293,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,110593
Food Prices for Nutrition 1.0,FPN 1.0,St. Vincent and the Grenadines,VCT,2020,YR2020,..,4.499,..,..,..,..,4.454,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,110947
Food Prices for Nutrition 1.0,FPN 1.0,St. Vincent and the Grenadines,VCT,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Sub-Saharan Africa,SSF,2017,YR2017,..,..,..,..,..,..,3.249,..,2.228,0.871,0.934,..,0.542,..,0.256,..,0.146,..,0.528,0.843,..,..,..,..,..,..,..,29.8,72.2,86.2,301.3,730.5,872.2,1021249977
Food Prices for Nutrition 1.0,FPN 1.0,Sub-Saharan Africa,SSF,2018,YR2018,..,..,..,..,..,..,3.253,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.1,..,..,884.5,1040161149
Food Prices for Nutrition 1.0,FPN 1.0,Sub-Saharan Africa,SSF,2019,YR2019,..,..,..,..,..,..,3.381,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85,..,..,906.6,1068022483
Food Prices for Nutrition 1.0,FPN 1.0,Sub-Saharan Africa,SSF,2020,YR2020,..,..,..,..,..,..,3.474,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.3,..,..,933.8,1096265068
Food Prices for Nutrition 1.0,FPN 1.0,Sub-Saharan Africa,SSF,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Sudan,SDN,2017,YR2017,0.824,3.711,0.468,2.11,0.242,1.09,3.674,3.41,2.089,1.079,1.203,2.2,0.48,0.88,0.509,0.93,0.211,0.39,0.547,0.723,1.32,0.327,0.131,0.139,0.057,0.197,0.149,12.7,54.4,86.3,5.2,22.2,35.2,40813398
Food Prices for Nutrition 1.0,FPN 1.0,Sudan,SDN,2018,YR2018,..,3.961,..,..,..,..,3.921,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.1,..,..,37.3,41801532
Food Prices for Nutrition 1.0,FPN 1.0,Sudan,SDN,2019,YR2019,..,4.349,..,..,..,..,4.306,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92.1,..,..,39.4,42813237
Food Prices for Nutrition 1.0,FPN 1.0,Sudan,SDN,2020,YR2020,..,4.352,..,..,..,..,4.308,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.8,..,..,40.3,43849269
Food Prices for Nutrition 1.0,FPN 1.0,Sudan,SDN,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Suriname,SUR,2017,YR2017,0.604,5.019,0.412,3.42,0.139,1.154,4.969,4.35,3.386,1.142,1.412,2.41,0.8,1.37,0.78,1.33,0.136,0.23,0.585,1.256,2.15,0.284,0.161,0.157,0.027,0.253,0.118,17.9,40.9,57.6,0.1,0.2,0.3,570501
Food Prices for Nutrition 1.0,FPN 1.0,Suriname,SUR,2018,YR2018,..,5.276,..,..,..,..,5.223,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.5,..,..,0.3,575987
Food Prices for Nutrition 1.0,FPN 1.0,Suriname,SUR,2019,YR2019,..,5.39,..,..,..,..,5.336,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.1,..,..,0.3,581363
Food Prices for Nutrition 1.0,FPN 1.0,Suriname,SUR,2020,YR2020,..,5.797,..,..,..,..,5.739,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.8,..,..,0.3,586634
Food Prices for Nutrition 1.0,FPN 1.0,Suriname,SUR,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Sweden,SWE,2017,YR2017,0.417,3.117,0.329,2.459,0.108,0.808,3.086,3.86,2.434,0.8,0.644,1.37,0.773,1.64,0.347,0.74,0.085,0.18,0.47,0.766,1.63,0.209,0.25,0.112,0.028,0.248,0.152,0.2,0.3,0.5,0,0,0.1,10057698
Food Prices for Nutrition 1.0,FPN 1.0,Sweden,SWE,2018,YR2018,..,3.196,..,..,..,..,3.164,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,..,..,0.1,10175214
Food Prices for Nutrition 1.0,FPN 1.0,Sweden,SWE,2019,YR2019,..,3.186,..,..,..,..,3.154,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,0.1,10278887
Food Prices for Nutrition 1.0,FPN 1.0,Sweden,SWE,2020,YR2020,..,3.373,..,..,..,..,3.339,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6,..,..,0.1,10353442
Food Prices for Nutrition 1.0,FPN 1.0,Sweden,SWE,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Switzerland,CHE,2017,YR2017,0.333,2.548,0.278,2.122,0.055,0.422,2.523,6.04,2.101,0.418,0.675,3.18,0.577,2.72,0.249,1.17,0.067,0.32,0.212,0.743,3.5,0.268,0.229,0.099,0.027,0.294,0.084,0,0,0,0,0,0,8451840
Food Prices for Nutrition 1.0,FPN 1.0,Switzerland,CHE,2018,YR2018,..,2.617,..,..,..,..,2.591,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,8514329
Food Prices for Nutrition 1.0,FPN 1.0,Switzerland,CHE,2019,YR2019,..,2.589,..,..,..,..,2.563,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,8575280
Food Prices for Nutrition 1.0,FPN 1.0,Switzerland,CHE,2020,YR2020,..,2.686,..,..,..,..,2.659,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,8636896
Food Prices for Nutrition 1.0,FPN 1.0,Switzerland,CHE,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,"Taiwan, China",TWN,2017,YR2017,0.427,4.03,0.32,3.026,0.156,1.474,3.99,2.73,2.996,1.459,0.911,1.06,0.75,0.88,0.475,0.55,0.134,0.16,0.857,0.863,1.01,0.228,0.188,0.119,0.034,0.216,0.215,0,0.2,0.2,0,0.1,0.1,23560000
Food Prices for Nutrition 1.0,FPN 1.0,"Taiwan, China",TWN,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,"Taiwan, China",TWN,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,"Taiwan, China",TWN,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,"Taiwan, China",TWN,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Tajikistan,TJK,2017,YR2017,1.203,3.058,0.932,2.369,0.362,0.921,3.027,3.32,2.345,0.912,0.823,1.49,0.628,1.14,0.439,0.8,0.16,0.29,0.552,0.425,0.77,0.272,0.207,0.145,0.053,0.14,0.182,1.7,26.5,42.9,0.2,2.3,3.8,8880270
Food Prices for Nutrition 1.0,FPN 1.0,Tajikistan,TJK,2018,YR2018,..,3.151,..,..,..,..,3.119,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.1,..,..,3.6,9100847
Food Prices for Nutrition 1.0,FPN 1.0,Tajikistan,TJK,2019,YR2019,..,3.468,..,..,..,..,3.433,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42,..,..,3.9,9321023
Food Prices for Nutrition 1.0,FPN 1.0,Tajikistan,TJK,2020,YR2020,..,3.515,..,..,..,..,3.48,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.1,..,..,4,9537642
Food Prices for Nutrition 1.0,FPN 1.0,Tajikistan,TJK,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
